site_name,geonames_id,latitude,longitude,Rischio_Alluvione,Rischio_Terremoto,artresearch_match,match_score,match_place,documentato,documentato_realmente
Tempio Etrusco di Punta della Vipera,,42.0463351,11.8256075,Basso,Basso,,0,,False,False
teatro romano di Aosta,,45.73841,7.3223,Basso,Medio,,0,,False,False
Tomba del Poggio al Moro,,43.0183,11.9262,Basso,Medio,,0,,False,False
Tomba della Scimmia,,43.0304863,11.9520681,Basso,Medio,,0,,False,False
Tomba dei Caronti,,42.25044444,11.76986111,Basso,Medio,,0,,False,False
santuario nuragico di Abini,,40.145277777778,9.0927777777778,Basso,Basso,,0,,False,False
Teate,,42.346992,14.168101,Basso,Elevato,,0,,False,False
tomba dei Rilievi,,42.0071,12.1026,Basso,Basso,,0,,False,False
Tempio di Era,10378390.0,40.419294444444,15.005280555556,Basso,Basso,,0,,False,False
Villa di Tiberio,,41.2507,13.44979,Basso,Basso,,0,,False,False
parco archeologico urbano dell'antica Picentia,,40.643444,14.884121,Basso,Medio,,0,,False,False
Arco di Malborghetto,,42.052398,12.487033,Basso,Basso,"Arco di Malborghetto, Rom",100,Rom,True,True
Villa Gordiani,,41.8942,12.5538,Basso,Medio,,0,,False,False
Arco del Sacramento,,41.131,14.7736,Basso,Elevato,"Arco del Sacramento, Benevent",100,Benevent,True,True
Arco di Druso e Germanico,,42.7333,12.7371,Basso,Elevato,,0,,False,False
Parco archeologico di Baratti e Populonia,,42.991022,10.510601,Basso,Basso,,0,,False,False
Tomba del Leone,,43.0306059,11.9521535,Basso,Medio,,0,,False,False
Tomba della Tassinara,,43.0237,11.9638,Basso,Medio,,0,,False,False
abbazia di Sant'Angelo in Formis,3167446.0,41.118242,14.260573,Basso,Medio,,0,,False,False
Tarquinia,,42.254532,11.758173,Basso,Basso,,0,,False,False
Arco di Portogallo,,41.9031,12.4796,Basso,Medio,,0,,False,False
Melone del Sodo II,,43.281205,11.966126,Basso,Elevato,,0,,False,False
Mevaniola,,43.988,11.9044,Basso,Elevato,,0,,False,False
Area archeologica della Secca di Castrocucco,,40.0,15.7167,Basso,Elevato,,0,,False,False
Area archeologica di Capo la Timpa,,40.0,15.7167,Basso,Elevato,,0,,False,False
Albintimilium,,43.78928,7.62674,Basso,Medio,,0,,False,False
Melone del Sodo I,,43.280264,11.968819,Basso,Elevato,,0,,False,False
Acerenthia,,39.2579,16.814,Basso,Elevato,,0,,False,False
Tempio del Belvedere,,42.7225286,12.1198882,Basso,Medio,,0,,False,False
Akrillai,,37.03333333,14.68333333,Basso,Elevato,,0,,False,False
Tumulo di Poggio Gaiella,,43.0438,11.9489,Basso,Medio,,0,,False,False
Tomba di Boschetti,,43.7962,11.0645,Basso,Medio,,0,,False,False
Tomba di Mezzavia,,43.29157,11.95029,Basso,Elevato,,0,,False,False
Alba Docilia,,44.333841,8.511766,Medio,Basso,,0,,False,False
Tumulo di Camucia,,43.259869,11.974117,Basso,Elevato,,0,,False,False
Anxanum,,42.2309,14.3903,Basso,Medio,,0,,False,False
Ad Duas Lauros,,41.878938,12.548943,Basso,Medio,,0,,False,False
Arco di Riccardo,,45.647809126242,13.768900391705,Basso,Medio,"Arco di Riccardo, Triest",100,Triest,True,True
tempio di Iside,,41.132373,14.780887,Basso,Elevato,,0,,False,False
mura di Vetulonia,,42.859064,10.97265,Basso,Basso,,0,,False,False
anfiteatro romano di Benevento,,41.1324,14.7674,Basso,Elevato,,0,,False,False
Apeneste,,41.716666666667,16.05,Basso,Elevato,,0,,False,False
Nuraghe Oes,,40.479782,8.7745128,Basso,Basso,,0,,False,False
tomba della Fibula d'oro,,42.879391,10.995749,Basso,Basso,,0,,False,False
Torre del Filosofo,,37.737937,15.000422,Basso,Elevato,,0,,False,False
Narce,,42.2892,12.4142,Basso,Medio,,0,,False,False
